start,end
19997,76700
20072,28822
20072,28879
20072,35379
20072,36100
20072,41990
20072,42609
20072,43289
20072,44822
20072,73560
20072,74687
20072,75269
20072,76274
20072,76700
20083,27278
20083,28822
20083,30958
20083,34343
20083,35379
20083,36902
20083,38239
20083,40341
20083,41990
20083,43289
20083,43848
20083,44817
20083,44822
20083,45232
20083,73129
20083,73560
20083,75269
20083,75273
20083,76274
20083,76700
20172,28957
20172,35417
20172,73615
20172,77051
20364,29051
20364,30159
20364,31089
20364,35484
20364,37020
20364,37051
20364,37749
20364,38773
20364,41601
20364,43917
20364,44454
20364,45595
20364,75359
20751,27477
20751,28201
20751,31232
20751,34486
20751,34968
20751,37841
20751,40469
20751,40846
20751,41211
20751,44023
20751,44504
20751,45643
20751,72529
20751,76410
20853,29310
20853,30368
20853,30405
20853,30413
20853,35615
20853,37181
20853,37207
20853,37913
20853,40876
20853,42219
20853,43503
20853,43519
20853,44056
20853,71930
20853,73757
20853,75476
20853,75478
20984,28326
20984,35673
20984,44095
20984,73800
20984,74986
20984,77727
21156,26993
21156,28338
21156,28369
21156,29456
21156,29477
21156,29499
21156,33769
21156,33778
21156,35071
21156,35685
21156,35697
21156,35700
21156,36558
21156,38508
21156,41732
21156,41741
21156,42306
21156,42312
21156,42948
21156,44613
21156,45051
21156,71735
21156,73350
21156,73352
21156,73369
21156,75021
21156,75036
21156,76883
21177,28326
21177,28338
21177,28369
21177,29456
21177,29499
21177,33769
21177,35071
21177,35673
21177,35685
21177,35697
21177,35700
21177,41732
21177,41741
21177,42306
21177,42312
21177,42948
21177,44613
21177,71735
21177,73350
21177,73352
21177,73369
21177,73800
21177,75021
21177,76883
21185,26993
21185,28369
21185,29456
21185,29477
21185,29499
21185,30616
21185,31401
21185,33769
21185,33778
21185,35697
21185,35700
21185,36558
21185,37358
21185,38508
21185,41741
21185,42312
21185,42948
21185,42987
21185,43619
21185,45051
21185,71735
21185,71985
21185,72265
21185,73369
21185,74402
21185,75021
21185,75036
21185,76883
21233,26993
21233,28338
21233,28369
21233,29456
21233,29477
21233,29499
21233,33769
21233,33778
21233,35071
21233,35685
21233,35697
21233,35700
21233,36558
21233,38508
21233,41732
21233,41741
21233,42306
21233,42312
21233,42948
21233,44613
21233,45051
21233,71735
21233,73350
21233,73352
21233,73369
21233,75021
21233,75036
21233,76883
21240,21320
21240,29477
21240,29554
21240,30616
21240,31401
21240,33778
21240,36558
21240,36604
21240,37358
21240,38508
21240,42357
21240,42987
21240,43619
21240,45051
21240,71985
21240,72265
21240,74402
21240,75036
21240,75604
21320,29477
21320,29554
21320,30616
21320,31401
21320,33778
21320,36558
21320,36604
21320,37358
21320,38508
21320,42357
21320,42987
21320,43619
21320,45051
21320,71985
21320,72265
21320,74402
21320,75036
21320,75604
21375,29554
21375,30616
21375,31401
21375,31435
21375,36604
21375,37358
21375,38543
21375,42357
21375,42987
21375,43619
21375,45443
21375,71985
21375,72265
21375,74402
21375,75604
21557,28543
21557,30729
21557,30745
21557,31492
21557,38108
21557,38110
21557,38985
21557,43711
21557,44707
21557,45124
21557,45753
21557,73013
21557,74520
21557,75105
21557,76141
21557,76588
21557,77232
21570,28543
21570,30729
21570,30745
21570,35202
21570,38108
21570,38110
21570,41848
21570,43711
21570,44707
21570,45124
21570,74520
21570,76141
21570,76588
21570,77232
21655,30729
21655,30745
21655,31492
21655,34635
21655,38108
21655,38110
21655,38985
21655,40951
21655,45124
21655,45753
21655,73013
21655,75105
21655,76588
21655,77232
21878,27769
21878,30837
21878,35236
21878,37534
21878,41442
21878,44283
21878,73063
21878,76179
22055,27933
22055,29924
22055,29965
22055,30958
22055,34343
22055,35330
22055,36857
22055,36902
22055,38239
22055,40341
22055,41503
22055,43848
22055,44817
22055,45232
22055,72085
22055,73129
22055,75273
22133,27933
22133,29924
22133,29965
22133,30958
22133,32527
22133,35330
22133,36857
22133,36902
22133,38239
22133,40341
22133,41503
22133,43848
22133,44817
22133,45232
22133,72085
22133,73129
22133,75273
22148,27278
22148,27933
22148,29924
22148,29965
22148,30958
22148,34343
22148,35330
22148,36857
22148,36902
22148,38239
22148,40341
22148,41503
22148,43848
22148,44817
22148,45232
22148,72085
22148,73129
22148,75273
22362,31684
22362,32572
22362,35417
22362,38729
22362,39152
22362,45571
22362,73615
22362,77044
22362,77051
22469,29051
22469,30159
22469,31089
22469,31739
22469,35484
22469,37020
22469,37749
22469,38773
22469,39796
22469,41601
22469,43917
22469,45595
22469,75359
22469,77076
22469,78257
22527,29051
22527,30159
22527,31089
22527,31739
22527,35484
22527,37020
22527,37749
22527,38773
22527,39796
22527,41601
22527,43917
22527,45595
22527,75359
22527,77076
22527,78257
22544,30159
22544,31089
22544,31739
22544,32599
22544,35484
22544,37020
22544,37749
22544,38773
22544,39796
22544,41601
22544,43917
22544,45595
22544,75359
22544,77076
22544,78257
22636,29121
22636,33688
22636,36251
22636,37051
22636,39534
22636,41178
22636,42739
22636,44454
22636,71663
22636,74819
22636,76365
22636,77889
22788,27431
22788,30312
22788,37113
22788,41211
22788,43412
22788,45643
22788,72529
22788,72876
22788,75401
22842,29310
22842,30368
22842,30405
22842,30413
22842,35615
22842,37181
22842,37207
22842,37913
22842,40876
22842,42219
22842,43503
22842,43519
22842,44056
22842,71930
22842,73757
22842,75476
22842,75478
22932,28201
22932,30368
22932,31232
22932,34486
22932,34968
22932,37841
22932,39840
22932,40469
22932,40846
22932,44023
22932,44504
22932,71930
22932,76410
22948,29310
22948,30368
22948,30405
22948,37181
22948,37207
22948,40469
22948,40876
22948,43503
22948,43519
22948,44023
22948,71930
22948,75476
22948,75478
23072,29310
23072,30405
23072,30413
23072,30459
23072,35615
23072,37181
23072,37207
23072,37251
23072,37913
23072,40876
23072,42219
23072,43503
23072,43519
23072,43541
23072,44056
23072,73757
23072,74288
23072,74930
23072,75476
23072,75478
23072,75492
23404,29477
23404,29554
23404,30616
23404,31401
23404,32405
23404,36558
23404,36604
23404,37358
23404,38508
23404,39627
23404,39639
23404,42357
23404,42987
23404,43619
23404,45051
23404,72265
23404,74402
23404,75036
23404,75604
23488,29554
23488,30616
23488,31401
23488,31435
23488,32405
23488,36604
23488,37358
23488,38543
23488,39639
23488,42357
23488,42987
23488,43619
23488,45443
23488,72265
23488,74402
23488,75604
23577,31492
23577,32428
23577,38985
23577,45753
23577,75105
23771,32113
23771,39430
23771,74613
23771,77549
23771,77831
23957,31684
23957,32572
23957,38729
23957,39152
23957,45571
23957,77044
23957,77051
24048,32599
24048,32891
24048,39796
24048,77076
24098,32263
24098,36251
24098,39534
24098,42739
24098,43412
24098,74819
24098,75401
24098,76365
24098,77889
24352,32345
24352,39869
24352,44095
24352,45390
24352,74986
24352,78116
24445,31401
24445,32390
24445,38508
24445,39618
24445,39627
24445,42948
24445,43619
24445,45051
24445,74402
24445,75021
24445,75036
24445,76883
24515,31401
24515,31435
24515,32405
24515,38543
24515,39639
24515,43619
24515,45443
24515,74402
24515,75604
24751,33123
24918,32938
24918,39534
24918,77889
25368,32938
25393,33179
25393,39840
26288,33514
26311,71528
26619,33514
26619,71528
26636,33527
26636,40268
26636,71547
26636,72036
26636,78762
26870,33688
26870,71663
26884,71663
26884,79126
26993,33769
26993,33778
26993,71735
26993,71985
26993,72265
27129,34226
27129,40268
27129,71547
27129,72036
27129,78762
27189,33880
27189,40006
27192,33880
27192,40006
27204,34293
27204,40674
27204,71822
27204,72375
27204,78387
27204,79024
27278,34343
27278,40341
27278,72085
27278,73129
27278,78787
27278,79939
27431,41211
27431,72529
27431,72876
27431,79126
27431,79683
27477,34486
27477,34968
27477,40469
27477,40846
27477,41211
27477,72529
27658,34635
27658,40951
27658,73013
27658,75105
27769,35236
27769,41442
27769,73063
27769,79876
27769,80198
27933,35330
27933,40341
27933,41503
27933,72085
27933,73129
27933,78787
27933,79939
27933,80652
28066,41580
28066,73617
28066,79346
28066,80331
28201,34486
28201,34968
28201,40469
28201,40846
28201,41211
28201,72529
28201,81281
28326,35071
28326,35673
28326,35685
28326,41732
28326,42306
28326,73350
28326,73352
28326,73800
28326,74986
28326,80097
28326,80895
28326,81910
28338,35071
28338,35673
28338,35700
28338,41732
28338,41741
28338,42306
28338,42312
28338,73350
28338,73352
28338,73369
28338,73800
28338,79776
28338,80097
28338,80113
28338,80895
28338,80915
28338,81910
28369,35071
28369,35685
28369,35697
28369,35700
28369,41732
28369,41741
28369,42306
28369,42312
28369,42948
28369,73350
28369,73352
28369,73369
28369,75021
28369,75036
28369,79776
28369,80097
28369,80113
28369,80915
28369,81417
28369,81910
28369,81928
28543,35202
28543,41848
28543,43711
28543,74520
28543,79840
28543,81491
28543,81514
28822,35379
28822,41990
28822,43289
28822,43848
28822,73129
28822,73560
28822,75269
28822,75273
28822,79939
28822,80652
28822,80671
28822,82594
28822,82595
28879,35379
28879,36100
28879,41990
28879,42609
28879,43289
28879,73560
28879,74687
28879,80671
28879,80685
28879,81648
28879,82594
28879,82595
28879,83755
28879,83764
28957,35417
28957,73615
28957,78619
28957,80310
28957,81186
29051,35484
29051,41601
29051,75359
29051,79360
29051,82632
29121,36251
29121,37051
29121,42739
29121,44454
29121,74819
29121,76365
29121,82274
29310,35615
29310,40876
29310,42219
29310,43503
29310,43519
29310,73757
29310,75476
29310,75478
29310,79418
29310,82344
29310,82356
29456,35685
29456,35697
29456,35700
29456,36558
29456,41732
29456,41741
29456,42306
29456,42312
29456,42948
29456,73350
29456,73352
29456,73369
29456,75021
29456,75036
29456,79776
29456,80097
29456,80113
29456,80915
29456,81417
29456,81910
29456,81928
29477,35697
29477,36558
29477,37358
29477,41741
29477,42312
29477,42948
29477,42987
29477,43619
29477,73369
29477,74402
29477,75021
29477,75036
29477,79776
29477,80113
29477,80915
29477,81417
29477,81928
29499,35685
29499,35697
29499,35700
29499,36558
29499,41732
29499,41741
29499,42306
29499,42312
29499,42948
29499,73350
29499,73352
29499,73369
29499,75021
29499,75036
29499,79776
29499,80097
29499,80113
29499,80915
29499,81417
29499,81910
29499,81928
29554,36604
29554,37358
29554,42357
29554,42987
29554,43619
29554,74402
29554,75604
29554,79182
29924,36857
29924,41503
29924,43215
29965,36857
29965,36902
29965,43848
29965,44817
29965,45232
29965,75273
29965,79939
29965,80652
30159,37020
30159,37749
30159,43917
30159,75359
30159,77076
30159,80331
30159,82632
30159,84356
30312,37113
30312,43412
30312,75401
30312,81762
30312,83490
30312,83504
30368,37181
30368,37207
30368,43503
30368,43519
30368,44023
30368,75476
30368,75478
30368,82344
30405,37181
30405,37207
30405,37913
30405,42219
30405,43503
30405,43519
30405,44056
30405,73757
30405,75476
30405,75478
30405,82344
30405,82356
30413,37181
30413,37207
30413,37251
30413,37913
30413,43503
30413,43519
30413,43541
30413,44056
30413,73757
30413,74288
30413,74930
30413,75476
30413,75478
30413,75492
30413,80442
30413,80863
30413,81862
30413,82344
30413,82356
30413,82739
30459,35615
30459,37251
30459,37913
30459,42219
30459,43541
30459,44056
30459,73757
30459,74288
30459,74930
30459,75492
30459,80442
30459,80863
30459,81862
30459,82356
30459,82739
30616,36558
30616,36604
30616,37358
30616,42357
30616,42987
30616,43619
30616,74402
30616,75036
30616,75604
30616,81417
30616,81928
30729,38108
30729,38110
30729,43711
30729,44707
30729,45124
30729,45753
30729,74520
30729,75105
30729,76141
30729,76588
30729,77232
30729,81491
30729,83275
30729,83982
30729,84731
30745,38108
30745,38110
30745,38985
30745,43711
30745,44707
30745,45124
30745,45753
30745,75105
30745,76141
30745,76588
30745,77232
30745,83275
30745,83982
30745,84731
30837,37534
30837,44283
30837,76179
30837,83308
30958,38239
30958,43848
30958,44817
30958,44822
30958,45232
30958,75269
30958,75273
30958,76274
30958,84802
31089,37020
31089,37749
31089,43917
31089,44454
31089,45595
31089,75359
31089,82632
31089,84842
31232,37841
31232,44023
31232,44504
31232,45643
31232,76410
31232,81281
31232,83504
31401,38508
31401,45051
31401,75036
31401,75604
31401,81928
31435,38543
31435,45443
31435,75604
31435,76565
31492,38108
31492,38985
31492,45124
31492,45753
31492,76588
31492,77232
31492,83982
31492,84731
31684,38729
31684,45571
31684,77044
31684,77051
31684,83755
31684,83764
31684,84332
31684,85027
31739,38773
31739,45595
31739,75359
31739,77076
31739,82632
31739,84356
32113,39430
32113,77549
32113,77831
32113,84774
32263,39534
32263,77889
32345,39869
32345,78116
32390,39618
32390,39627
32390,78132
32405,39639
32428,84731
32572,85027
32599,39796
33514,71528
33527,71547
33527,78762
33688,71663
33769,71735
33778,71735
33778,71985
33880,40006
33880,71822
33880,72375
33880,78387
33880,79024
34226,40268
34226,72036
34226,78762
34293,40674
34293,71822
34293,72375
34293,78387
34293,79024
34343,40341
34343,72085
34343,78787
34486,40469
34486,40846
34486,72529
34635,40951
34635,73013
34968,41211
34968,72529
35071,73350
35071,73352
35071,73369
35071,79776
35071,80097
35071,80113
35202,41848
35202,73475
35202,81514
35236,41442
35236,73063
35236,79876
35236,80198
35330,41503
35330,73129
35330,79939
35330,80652
35379,41990
35379,73560
35379,74687
35379,80671
35379,80685
35379,81648
35417,73615
35417,80310
35417,81186
35484,41601
35484,79360
35615,42219
35615,73757
35615,74288
35615,80442
35615,80863
35615,81862
35673,41732
35673,42306
35673,73350
35673,73352
35673,73800
35673,80097
35673,80895
35685,41732
35685,41741
35685,42306
35685,42312
35685,73350
35685,73352
35685,73369
35685,73800
35685,75021
35685,79776
35685,80097
35685,80113
35685,80895
35685,80915
35685,81910
35697,41732
35697,41741
35697,42306
35697,42312
35697,73350
35697,73352
35697,73369
35697,75021
35697,79776
35697,80097
35697,80113
35697,80915
35697,81417
35697,81910
35697,81928
35700,41732
35700,41741
35700,42306
35700,42312
35700,73350
35700,73352
35700,73369
35700,79776
35700,80097
35700,80113
35700,80915
35700,81417
36100,42609
36100,73560
36100,74687
36100,80671
36100,80685
36100,81648
36100,82594
36100,82595
36251,42739
36251,74819
36251,82274
36558,42948
36558,42987
36558,43619
36558,74402
36558,75021
36558,75036
36558,80915
36558,81417
36558,81928
36604,42357
36604,42987
36604,74402
36857,43215
36902,43848
36902,75269
36902,75273
36902,76274
37020,43917
37020,75359
37020,82632
37051,82632
37113,43412
37113,75401
37113,81762
37113,83504
37181,43503
37181,43519
37181,44056
37181,75476
37181,75478
37181,82344
37181,82356
37207,43503
37207,43519
37207,44056
37207,75476
37207,75478
37207,82344
37207,82356
37251,43541
37251,74288
37251,74930
37251,75492
37251,80442
37251,80863
37251,81862
37251,82356
37251,82739
37358,43619
37358,74402
37358,75036
37358,75604
37358,81417
37358,81928
37534,44283
37534,76179
37534,83308
37749,44454
37749,75359
37749,82632
37841,44504
37841,76410
37841,83504
37913,43503
37913,43519
37913,44056
37913,74930
37913,75476
37913,75478
37913,75492
37913,81862
37913,82344
37913,82356
37913,82739
38108,45124
38108,76141
38108,76588
38108,83275
38108,83982
38110,44707
38110,76141
38110,76588
38110,83275
38110,83982
38239,44817
38239,44822
38239,45232
38239,76274
38508,45051
38508,76883
38543,45443
38543,76565
38729,45571
38729,77044
38729,77051
38729,83755
38729,83764
38729,84332
38729,85027
38773,45595
38773,77076
38773,84356
38985,45753
38985,76588
38985,77232
38985,83982
38985,84731
39152,77051
39152,85027
39430,77549
39430,77831
39430,84774
39534,77889
39618,78132
39869,78116
40006,71822
40006,78387
40268,72036
40268,78762
40341,72085
40341,78787
40674,72375
40674,79024
40846,72529
40876,79418
40951,73013
41178,79683
41211,72876
41442,73063
41442,79876
41442,80198
41503,73129
41503,79939
41580,73617
41580,80331
41601,80331
41732,73350
41732,73352
41732,73369
41732,80097
41732,80113
41732,80895
41732,80915
41741,73350
41741,73352
41741,73369
41741,79776
41741,80097
41741,80113
41741,80915
41848,73475
41990,73560
41990,80671
41990,80685
42219,73757
42219,80442
42219,80863
42306,73800
42306,80097
42306,80113
42306,80895
42306,80915
42312,80097
42312,80113
42312,80915
42312,81417
42357,74402
42609,74687
42609,80671
42609,81648
42739,74819
42739,81762
42739,82274
42948,75021
42948,75036
42948,81417
42948,81910
42948,81928
42987,74402
42987,81417
42987,81928
43289,75269
43289,81648
43289,82594
43289,82595
43412,75401
43412,81762
43412,82274
43503,75476
43503,75478
43503,82344
43503,82356
43519,75476
43519,75478
43519,82344
43519,82356
43541,74930
43541,81862
43541,82356
43619,75036
43619,81417
43619,81928
43848,75269
43848,75273
43917,75359
43917,82632
44056,75476
44056,75492
44056,82344
44056,82356
44056,82739
44283,76179
44283,83308
44504,76410
44504,83504
44613,83912
44707,76141
44707,83275
44817,76274
44822,76700
45051,76883
45124,76588
45124,83982
45443,76565
45571,77044
45571,77051
45571,84332
45595,77076
45595,84356
45753,77232
45753,84731
71822,78387
72036,78762
72085,78787
72375,79024
72375,85197
72529,79126
72876,79683
73013,79840
73013,85825
73063,79876
73063,86385
73063,86675
73129,79939
73129,86448
73350,80097
73350,86583
73352,80097
73352,80113
73352,86583
73369,80097
73369,80113
73369,86583
73369,86593
73560,80685
73560,87105
73617,80331
73757,80442
73757,86894
73800,80895
73800,87262
73800,87275
74402,81417
74520,81491
74520,81514
74520,87719
74613,82109
74687,81648
74687,87851
74687,88287
74819,81762
74819,88371
74930,81862
74930,88852
74930,89217
74930,89222
74986,88485
75021,81910
75021,81928
75021,88512
75036,81928
75036,88512
75269,82594
75359,82632
75359,89465
75359,89468
75401,82274
75401,88768
75476,75478
75476,82344
75476,82356
75476,89217
75476,89222
75478,82344
75478,82356
75478,89217
75478,89222
75492,82739
75492,89217
75492,89222
75492,89547
76141,83275
76141,90022
76141,90309
76179,83308
76179,90340
76410,83504
76565,83967
76588,83982
76700,83755
76883,83912
77044,84332
77076,84356
77076,91347
77232,84731
79024,85197
79126,85281
79683,85729
79840,86078
79876,86385
79939,86448
80097,86583
80097,92302
80113,86583
80113,86593
80198,86675
80331,86797
80442,86894
80685,87105
80685,92993
80895,87262
80895,87275
80895,93138
80915,87275
80915,93138
81186,93628
81417,87649
81514,87719
81514,93844
81648,88287
81762,87938
81862,88852
81910,88512
81928,88512
82274,88768
82344,89217
82344,89222
82356,89217
82356,89222
82632,89468
82632,95325
82739,89547
82739,95405
83275,90309
83308,90340
83308,96298
83490,96417
83504,90196
83967,91042
83967,91045
83982,91042
83982,91045
84332,91335
84356,91347
86078,91863
86385,92373
86448,92181
86583,92302
86593,92323
86797,92455
86894,92804
87105,92993
87262,93125
87262,93126
87275,93138
87649,93462
87719,93844
87851,93628
87938,94029
88287,94284
88485,94420
88485,94440
88512,94452
88768,95017
88852,94757
89217,95067
89217,95072
89222,95067
89222,95072
89444,89082
89468,95325
89547,95405
89547,95676
90196,96417
90309,96517
90340,96298
90740,96884
91045,91042
92181,107932
92302,108031
92323,108045
92323,108270
92373,108090
92646,108599
92804,108740
92993,108889
93125,108980
93138,108995
93462,109523
93462,109538
94029,110034
94284,110240
94452,110692
94757,110667
95017,111159
95067,111217
95067,111220
95072,111217
95072,111220
95325,111431
95405,95676
95405,111505
95676,111505
96298,112507
96417,112604
96517,112713
108090,112927
108740,113524
108889,113691
108980,108740
108995,113795
109536,114766
109562,114798
110240,115421
110667,115814
110692,115820
111217,116267
111220,116549
111431,116718
111729,117032
